country,violence,age,age_first,duration,urban,edu,n_children,employ_paid,own_house,own_land,att_wb,fam_ipv,part_age,part_edu,alcohol,wealth_idx,telephone_yes
PK,0,22,16.0,5.0,0,0,2,0,0,0,0,0,30.0,2.0,0,1,0
PK,0,29,17.0,11.0,1,0,1,0,0,0,0,1,35.0,0.0,0,2,0
PK,1,32,18.0,14.0,1,7,0,0,0,0,1,0,42.0,14.0,0,3,0
PK,1,30,16.0,14.0,1,0,1,0,0,0,0,0,32.0,6.0,1,2,0
PK,0,30,26.0,4.0,1,10,2,0,0,0,0,0,35.0,0.0,0,3,0
PK,1,21,16.0,4.0,1,0,1,0,0,0,1,0,27.0,8.0,0,3,0
PK,1,22,19.0,3.0,1,14,1,0,0,0,1,0,30.0,14.0,0,3,0
PK,0,44,19.0,25.0,1,0,0,0,0,0,0,0,49.0,0.0,0,4,0
PK,0,24,16.0,8.0,1,9,1,0,0,0,0,1,25.0,10.0,0,2,0
PK,1,21,16.0,4.0,1,5,4,0,0,0,1,0,24.0,12.0,0,3,0
PK,0,38,20.0,17.0,1,10,0,0,0,0,0,1,50.0,10.0,0,4,0
PK,1,47,13.0,34.0,1,0,0,0,0,0,0,0,48.0,0.0,0,3,0
PK,1,37,18.0,18.0,1,5,1,0,0,0,1,0,42.0,0.0,1,1,0
PK,0,15,15.0,0.0,1,0,0,0,0,0,0,0,23.0,10.0,0,1,0
PK,1,44,16.0,27.0,1,0,0,0,0,0,0,0,53.0,0.0,0,4,0
PK,0,22,20.0,2.0,1,0,2,0,0,0,1,0,38.0,8.0,0,3,0
PK,0,44,12.0,31.0,1,0,2,0,0,0,0,0,61.0,0.0,0,2,0
PK,1,36,14.0,21.0,1,0,1,0,0,0,0,0,42.0,4.0,0,3,0
PK,1,25,19.0,6.0,1,4,4,0,0,0,1,0,32.0,10.0,0,3,0
PK,1,38,16.0,22.0,1,0,2,0,0,0,1,0,39.0,10.0,0,2,0
PK,1,43,26.0,17.0,1,3,1,0,0,0,1,0,43.0,2.0,0,1,0
PK,1,38,13.0,25.0,1,0,1,0,0,0,1,0,40.0,3.0,0,1,0
PK,0,29,19.0,10.0,1,0,1,0,0,0,0,0,45.0,8.0,0,3,0
PK,0,38,31.0,6.0,1,16,2,1,0,0,0,0,37.0,16.0,0,4,0
PK,1,39,15.0,24.0,1,0,1,0,0,0,1,0,42.0,5.0,1,3,0
PK,0,27,14.0,12.0,1,0,1,0,0,0,1,1,38.0,0.0,0,1,0
PK,1,27,17.0,10.0,1,0,2,0,0,0,0,0,30.0,10.0,0,0,0
PK,0,27,18.0,9.0,1,0,2,0,0,0,1,1,28.0,10.0,0,0,0
PK,1,32,17.0,15.0,1,0,0,0,0,0,0,0,37.0,8.0,0,2,0
PK,1,21,13.0,7.0,1,5,3,0,0,0,0,0,26.0,9.0,0,2,0
PK,1,32,15.0,17.0,1,0,2,0,0,0,0,1,33.0,2.0,0,1,0
PK,1,30,19.0,11.0,1,9,1,0,0,0,1,0,36.0,16.0,0,3,0
PK,1,35,15.0,20.0,1,4,3,0,0,0,1,0,38.0,9.0,0,2,0
PK,1,32,22.0,10.0,1,12,1,0,0,0,1,0,42.0,12.0,0,3,0
PK,1,42,17.0,24.0,0,0,0,0,0,0,1,0,54.0,10.0,0,2,0
PK,1,35,14.0,21.0,0,0,1,0,0,0,1,1,64.0,0.0,0,1,0
PK,1,20,15.0,4.0,0,0,2,0,0,0,0,0,34.0,8.0,0,1,0
PK,0,17,17.0,0.0,0,2,1,0,0,0,1,0,19.0,11.0,0,3,0
PK,1,29,17.0,12.0,0,0,0,0,0,0,1,1,31.0,16.0,0,2,0
PK,1,26,12.0,13.0,0,0,1,0,0,0,0,0,27.0,0.0,0,0,0
PK,1,28,14.0,14.0,0,0,1,0,0,0,1,0,41.0,0.0,0,2,0
PK,1,44,17.0,26.0,0,0,0,0,0,0,1,0,53.0,0.0,0,1,0
PK,0,38,12.0,25.0,0,0,0,1,0,0,1,1,80.0,0.0,0,1,0
PK,1,27,13.0,14.0,0,0,1,0,0,0,1,0,38.0,16.0,0,3,0
PK,0,32,18.0,13.0,0,0,1,0,0,0,1,0,39.0,6.0,0,1,0
